Event Category,Event Name,DataLayer Variable,Data Type,Required,Description,Example Value,GTM Variable Name,GA4 Parameter Mapping
# ===========================================
# GA4 RECOMMENDED EVENTS - CORE
# ===========================================
Core,page_view,event,string,Yes,Page view tracking event,page_view,{{Event}},event
Core,page_view,page_title,string,No,Title of the page,Home Page,{{DLV - page_title}},page_title
Core,page_view,page_location,string,No,Full URL of the page,https://example.com/page,{{DLV - page_location}},page_location
Core,page_view,page_path,string,No,Path portion of the URL,/page,{{Page Path}},page_path
Core,page_view,send_to,string,No,GA4 measurement ID for routing,G-XXXXXXXX,{{DLV - send_to}},send_to
Core,screen_view,event,string,Yes,Screen view for mobile/SPA apps,screen_view,{{Event}},event
Core,screen_view,screen_name,string,Yes,Name of the screen,Dashboard,{{DLV - screen_name}},screen_name
Core,screen_view,screen_class,string,No,Screen class/component name,DashboardScreen,{{DLV - screen_class}},screen_class
Core,scroll,event,string,Yes,Scroll tracking event,scroll,{{Event}},event
Core,scroll,percent_scrolled,number,No,Percentage of page scrolled (0-100),75,{{DLV - percent_scrolled}},percent_scrolled
Core,login,event,string,Yes,User login tracking,login,{{Event}},event
Core,login,method,string,No,Login method used,google,{{DLV - method}},method
Core,sign_up,event,string,Yes,User registration tracking,sign_up,{{Event}},event
Core,sign_up,method,string,No,Registration method used,email,{{DLV - method}},method
Core,search,event,string,Yes,Site search tracking,search,{{Event}},event
Core,search,search_term,string,Yes,Search query entered,wireless headphones,{{DLV - search_term}},search_term
Core,select_content,event,string,Yes,Content selection tracking,select_content,{{Event}},event
Core,select_content,content_type,string,No,Type of content selected,article,{{DLV - content_type}},content_type
Core,select_content,item_id,string,No,ID of the content item,article_123,{{DLV - item_id}},item_id
Core,share,event,string,Yes,Content sharing tracking,share,{{Event}},event
Core,share,method,string,No,Share method/platform,twitter,{{DLV - method}},method
Core,share,content_type,string,No,Type of content shared,product,{{DLV - content_type}},content_type
Core,share,item_id,string,No,ID of shared item,SKU-001,{{DLV - item_id}},item_id
Core,generate_lead,event,string,Yes,Lead generation event,generate_lead,{{Event}},event
Core,generate_lead,currency,string,No,Currency code (ISO 4217),USD,{{DLV - currency}},currency
Core,generate_lead,value,number,No,Estimated lead value,100,{{DLV - value}},value
Core,view_search_results,event,string,Yes,Search results view,view_search_results,{{Event}},event
Core,view_search_results,search_term,string,Yes,Search query that produced results,wireless headphones,{{DLV - search_term}},search_term
Core,conversion,event,string,Yes,Google Ads conversion,conversion,{{Event}},event
Core,conversion,send_to,string,Yes,Ads conversion ID,AW-123456789/AbC123,{{DLV - send_to}},send_to
Core,conversion,value,number,No,Conversion value,99.99,{{DLV - value}},value
Core,conversion,currency,string,No,Currency code,USD,{{DLV - currency}},currency
Core,conversion,transaction_id,string,No,Transaction identifier,TXN-12345,{{DLV - transaction_id}},transaction_id
# ===========================================
# ECOMMERCE EVENTS
# ===========================================
Ecommerce,view_item,event,string,Yes,Product page view,view_item,{{Event}},event
Ecommerce,view_item,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,view_item,ecommerce.value,number,Yes,Total value of items,29.99,{{DLV - ecommerce.value}},value
Ecommerce,view_item,ecommerce.items,array,Yes,Array of item objects,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,view_item_list,event,string,Yes,Product list/category view,view_item_list,{{Event}},event
Ecommerce,view_item_list,ecommerce.item_list_id,string,No,List identifier,featured_products,{{DLV - ecommerce.item_list_id}},item_list_id
Ecommerce,view_item_list,ecommerce.item_list_name,string,No,List display name,Featured Products,{{DLV - ecommerce.item_list_name}},item_list_name
Ecommerce,view_item_list,ecommerce.items,array,Yes,Array of item objects,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,select_item,event,string,Yes,Product click in list,select_item,{{Event}},event
Ecommerce,select_item,ecommerce.item_list_id,string,No,List where item was clicked,search_results,{{DLV - ecommerce.item_list_id}},item_list_id
Ecommerce,select_item,ecommerce.items,array,Yes,Array with clicked item,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,add_to_cart,event,string,Yes,Add item to cart,add_to_cart,{{Event}},event
Ecommerce,add_to_cart,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,add_to_cart,ecommerce.value,number,Yes,Value of items added,59.98,{{DLV - ecommerce.value}},value
Ecommerce,add_to_cart,ecommerce.items,array,Yes,Items added to cart,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,remove_from_cart,event,string,Yes,Remove item from cart,remove_from_cart,{{Event}},event
Ecommerce,remove_from_cart,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,remove_from_cart,ecommerce.value,number,Yes,Value of items removed,29.99,{{DLV - ecommerce.value}},value
Ecommerce,remove_from_cart,ecommerce.items,array,Yes,Items removed from cart,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,view_cart,event,string,Yes,Cart page view,view_cart,{{Event}},event
Ecommerce,view_cart,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,view_cart,ecommerce.value,number,Yes,Total cart value,89.97,{{DLV - ecommerce.value}},value
Ecommerce,view_cart,ecommerce.items,array,Yes,All items in cart,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,begin_checkout,event,string,Yes,Checkout initiated,begin_checkout,{{Event}},event
Ecommerce,begin_checkout,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,begin_checkout,ecommerce.value,number,Yes,Total checkout value,89.97,{{DLV - ecommerce.value}},value
Ecommerce,begin_checkout,ecommerce.coupon,string,No,Coupon applied,SAVE10,{{DLV - ecommerce.coupon}},coupon
Ecommerce,begin_checkout,ecommerce.items,array,Yes,Items in checkout,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,add_shipping_info,event,string,Yes,Shipping info added,add_shipping_info,{{Event}},event
